hero_id,loser,winner,win_rate
1,1,1,0.43
2,3,2,0.87
3,4,4,1.73
4,6,7,3.03
5,29,38,16.45
6,17,13,5.63
7,13,9,3.9
8,3,0,0
9,7,18,7.79
10,25,19,8.23
11,41,40,17.32
12,2,1,0.43
13,13,15,6.49
14,14,19,8.23
15,6,7,3.03
16,1,3,1.3
17,4,11,4.76
18,11,15,6.49
19,39,43,18.61
20,4,5,2.16
22,14,11,4.76
23,8,8,3.46
25,10,11,4.76
26,2,2,0.87
27,3,3,1.3
28,8,7,3.03
29,8,9,3.9
30,5,3,1.3
31,18,14,6.06
32,2,0,0
33,27,32,13.85
34,1,1,0.43
35,11,15,6.49
37,1,1,0.43
38,17,16,6.93
39,10,0,0
40,4,5,2.16
41,11,9,3.9
42,1,2,0.87
43,13,8,3.46
44,4,0,0
45,1,0,0
46,8,6,2.6
47,2,2,0.87
48,6,6,2.6
50,5,3,1.3
51,25,20,8.66
52,33,44,19.05
53,5,5,2.16
54,11,17,7.36
55,2,2,0.87
57,5,4,1.73
58,17,14,6.06
59,2,1,0.43
60,1,1,0.43
61,14,26,11.26
63,3,1,0.43
64,9,12,5.19
65,16,4,1.73
66,10,10,4.33
67,1,1,0.43
68,5,3,1.3
69,7,10,4.33
70,6,8,3.46
71,5,5,2.16
72,2,6,2.6
73,3,1,0.43
74,12,11,4.76
75,27,25,10.82
76,1,4,1.73
77,4,4,1.73
78,14,14,6.06
79,4,5,2.16
80,9,8,3.46
81,4,6,2.6
84,3,2,0.87
85,37,35,15.15
86,13,6,2.6
87,16,23,9.96
88,18,33,14.29
89,11,20,8.66
91,0,2,0.87
92,17,19,8.23
93,8,11,4.76
94,2,2,0.87
95,5,3,1.3
96,6,5,2.16
97,7,5,2.16
98,4,3,1.3
99,2,3,1.3
100,17,25,10.82
101,3,1,0.43
102,2,1,0.43
103,2,3,1.3
104,5,0,0
106,26,10,4.33
107,3,5,2.16
108,5,1,0.43
109,13,9,3.9
110,3,4,1.73
111,6,6,2.6
112,3,0,0
113,3,5,2.16
114,11,10,4.33
119,4,1,0.43
120,35,34,14.72
121,1,1,0.43
123,14,15,6.49
126,7,2,0.87
128,29,26,11.26
129,18,12,5.19
135,13,17,7.36
136,48,47,20.35
137,35,32,13.85
